Cell_ID	disp_x	disp_y	disp_z
0	1.22727e-06	6.48282e-07	6.48282e-07
1	1.96271e-06	8.51769e-07	8.51769e-07
2	2.77238e-06	9.81135e-07	9.81135e-07
3	3.57684e-06	1.07073e-06	1.07073e-06
4	4.41422e-06	1.13096e-06	1.13096e-06
5	5.2847e-06	1.17883e-06	1.17883e-06
6	6.19329e-06	1.22059e-06	1.22059e-06
7	7.1395e-06	1.26166e-06	1.26166e-06
8	8.12397e-06	1.30472e-06	1.30472e-06
9	9.14726e-06	1.35135e-06	1.35135e-06
10	1.02107e-05	1.40223e-06	1.40223e-06
11	1.1316e-05	1.45764e-06	1.45764e-06
12	1.24658e-05	1.5176e-06	1.5176e-06
13	1.36628e-05	1.58205e-06	1.58205e-06
14	1.49101e-05	1.65083e-06	1.65083e-06
15	1.62108e-05	1.72382e-06	1.72382e-06
16	1.75682e-05	1.80083e-06	1.80083e-06
17	1.89852e-05	1.88171e-06	1.88171e-06
18	2.04648e-05	1.96628e-06	1.96628e-06
19	2.20094e-05	2.05436e-06	2.05436e-06
20	2.36213e-05	2.14575e-06	2.14575e-06
21	2.53026e-05	2.24029e-06	2.24029e-06
22	2.70553e-05	2.33777e-06	2.33777e-06
23	2.8881e-05	2.43801e-06	2.43801e-06
24	3.07816e-05	2.54082e-06	2.54082e-06
25	3.27589e-05	2.64597e-06	2.64597e-06
26	3.48147e-05	2.75322e-06	2.75322e-06
27	3.69507e-05	2.86231e-06	2.86231e-06
28	3.91684e-05	2.97296e-06	2.97296e-06
29	4.14692e-05	3.08493e-06	3.08493e-06
30	4.38543e-05	3.19802e-06	3.19802e-06
31	4.6325e-05	3.31212e-06	3.31212e-06
32	4.88822e-05	3.4272e-06	3.4272e-06
33	5.15272e-05	3.54333e-06	3.54333e-06
34	5.42614e-05	3.66064e-06	3.66064e-06
35	5.7086e-05	3.77931e-06	3.77931e-06
36	6.00024e-05	3.89952e-06	3.89952e-06
37	6.30118e-05	4.02141e-06	4.02141e-06
38	6.61154e-05	4.14509e-06	4.14509e-06
39	6.93141e-05	4.27061e-06	4.27061e-06
40	7.26087e-05	4.39796e-06	4.39796e-06
41	7.60001e-05	4.52712e-06	4.52712e-06
42	7.94892e-05	4.65804e-06	4.65804e-06
43	8.30771e-05	4.79064e-06	4.79064e-06
44	8.6765e-05	4.92484e-06	4.92484e-06
45	9.05539e-05	5.06052e-06	5.06052e-06
46	9.44448e-05	5.19754e-06	5.19754e-06
47	9.84383e-05	5.33564e-06	5.33564e-06
48	0.000102535	5.47447e-06	5.47447e-06
49	0.000106735	5.61365e-06	5.61365e-06
50	0.000111041	5.75292e-06	5.75292e-06
51	0.000115452	5.89232e-06	5.89232e-06
52	0.000119971	6.03224e-06	6.03224e-06
53	0.000124598	6.17325e-06	6.17325e-06
54	0.000129335	6.3159e-06	6.3159e-06
55	0.000134182	6.46042e-06	6.46042e-06
56	0.000139139	6.60672e-06	6.60672e-06
57	0.000144206	6.75449e-06	6.75449e-06
58	0.000149383	6.9034e-06	6.9034e-06
59	0.000154673	7.05324e-06	7.05324e-06
60	0.000160075	7.20386e-06	7.20386e-06
61	0.00016559	7.3551e-06	7.3551e-06
62	0.00017122	7.50682e-06	7.50682e-06
63	0.000176965	7.65892e-06	7.65892e-06
64	0.000182826	7.81143e-06	7.81143e-06
65	0.000188803	7.9645e-06	7.9645e-06
66	0.000194897	8.11833e-06	8.11833e-06
67	0.000201108	8.27306e-06	8.27306e-06
68	0.000207436	8.42873e-06	8.42873e-06
69	0.000213883	8.58529e-06	8.58529e-06
70	0.000220449	8.74265e-06	8.74265e-06
71	0.000227134	8.9008e-06	8.9008e-06
72	0.000233939	9.05981e-06	9.05981e-06
73	0.000240863	9.21959e-06	9.21959e-06
74	0.000247908	9.37985e-06	9.37985e-06
75	0.000255074	9.54032e-06	9.54032e-06
76	0.000262361	9.70105e-06	9.70105e-06
77	0.000269771	9.86227e-06	9.86227e-06
78	0.000277304	1.00241e-05	1.00241e-05
79	0.000284959	1.01865e-05	1.01865e-05
80	0.000292738	1.03496e-05	1.03496e-05
81	0.00030064	1.05137e-05	1.05137e-05
82	0.000308667	1.06788e-05	1.06788e-05
83	0.000316817	1.0845e-05	1.0845e-05
84	0.000325092	1.10127e-05	1.10127e-05
85	0.000333491	1.11824e-05	1.11824e-05
86	0.000342012	1.13542e-05	1.13542e-05
87	0.000350652	1.15283e-05	1.15283e-05
88	0.000359408	1.17051e-05	1.17051e-05
89	0.00036827	1.18831e-05	1.18831e-05
90	0.000377229	1.20583e-05	1.20583e-05
91	0.00038627	1.22236e-05	1.22236e-05
92	0.00039537	1.2364e-05	1.2364e-05
93	0.000404513	1.24584e-05	1.24584e-05
94	0.000413657	1.24551e-05	1.24551e-05
95	0.000422867	1.23037e-05	1.23037e-05
96	0.000431897	1.17485e-05	1.17485e-05
97	0.000440737	1.09284e-05	1.09284e-05
98	0.000445896	9.18509e-06	9.18509e-06
99	0.000459815	9.23874e-06	9.23874e-06
100	1.07083e-06	3.24381e-07	7.00769e-07
101	1.82771e-06	5.2835e-07	8.94284e-07
102	2.67852e-06	6.62068e-07	1.01402e-06
103	3.50039e-06	7.37469e-07	1.10087e-06
104	4.35511e-06	7.85211e-07	1.15835e-06
105	5.23613e-06	8.18513e-07	1.20506e-06
106	6.15062e-06	8.45569e-07	1.24622e-06
107	7.09926e-06	8.7166e-07	1.2873e-06
108	8.08378e-06	8.99454e-07	1.33075e-06
109	9.10561e-06	9.30291e-07	1.37804e-06
110	1.01667e-05	9.64644e-07	1.42979e-06
111	1.12692e-05	1.00257e-06	1.48622e-06
112	1.2416e-05	1.04391e-06	1.54731e-06
113	1.36099e-05	1.08849e-06	1.61299e-06
114	1.48541e-05	1.13609e-06	1.68311e-06
115	1.61519e-05	1.18656e-06	1.75753e-06
116	1.75063e-05	1.23977e-06	1.83607e-06
117	1.89205e-05	1.29562e-06	1.91855e-06
118	2.03971e-05	1.35406e-06	2.00478e-06
119	2.19389e-05	1.41502e-06	2.09458e-06
120	2.35481e-05	1.47841e-06	2.18775e-06
121	2.52268e-05	1.54413e-06	2.2841e-06
122	2.6977e-05	1.61204e-06	2.38344e-06
123	2.88005e-05	1.68197e-06	2.48559e-06
