Cell_ID	disp_x	disp_y	disp_z
0	9.85837e-07	5.18194e-07	5.18194e-07
1	1.58028e-06	6.81295e-07	6.81295e-07
2	2.23761e-06	7.86917e-07	7.86917e-07
3	2.89439e-06	8.63046e-07	8.63046e-07
4	3.58189e-06	9.18039e-07	9.18039e-07
5	4.30116e-06	9.65333e-07	9.65333e-07
6	5.05734e-06	1.00964e-06	1.00964e-06
7	5.85132e-06	1.05496e-06	1.05496e-06
8	6.68482e-06	1.10312e-06	1.10312e-06
9	7.55934e-06	1.15509e-06	1.15509e-06
10	8.4767e-06	1.21118e-06	1.21118e-06
11	9.4389e-06	1.27139e-06	1.27139e-06
12	1.04481e-05	1.33557e-06	1.33557e-06
13	1.15067e-05	1.40352e-06	1.40352e-06
14	1.26172e-05	1.47506e-06	1.47506e-06
15	1.37821e-05	1.55005e-06	1.55005e-06
16	1.50042e-05	1.62838e-06	1.62838e-06
17	1.62863e-05	1.70997e-06	1.70997e-06
18	1.7631e-05	1.79474e-06	1.79474e-06
19	1.90412e-05	1.8826e-06	1.8826e-06
20	2.05192e-05	1.97349e-06	1.97349e-06
21	2.20674e-05	2.0673e-06	2.0673e-06
22	2.36876e-05	2.16393e-06	2.16393e-06
23	2.53818e-05	2.26326e-06	2.26326e-06
24	2.71514e-05	2.36516e-06	2.36516e-06
25	2.8998e-05	2.46952e-06	2.46952e-06
26	3.0923e-05	2.57619e-06	2.57619e-06
27	3.29279e-05	2.68504e-06	2.68504e-06
28	3.50145e-05	2.79588e-06	2.79588e-06
29	3.7184e-05	2.90852e-06	2.90852e-06
30	3.94382e-05	3.02272e-06	3.02272e-06
31	4.17782e-05	3.13826e-06	3.13826e-06
32	4.42053e-05	3.25496e-06	3.25496e-06
33	4.67207e-05	3.37268e-06	3.37268e-06
34	4.93254e-05	3.49138e-06	3.49138e-06
35	5.20204e-05	3.6111e-06	3.6111e-06
36	5.48071e-05	3.73196e-06	3.73196e-06
37	5.76867e-05	3.85413e-06	3.85413e-06
38	6.06607e-05	3.97781e-06	3.97781e-06
39	6.37304e-05	4.10318e-06	4.10318e-06
40	6.68969e-05	4.23035e-06	4.23035e-06
41	7.01614e-05	4.35938e-06	4.35938e-06
42	7.35247e-05	4.49028e-06	4.49028e-06
43	7.69877e-05	4.62302e-06	4.62302e-06
44	8.05512e-05	4.75759e-06	4.75759e-06
45	8.42166e-05	4.89396e-06	4.89396e-06
46	8.79847e-05	5.03209e-06	5.03209e-06
47	9.18568e-05	5.17188e-06	5.17188e-06
48	9.58338e-05	5.31311e-06	5.31311e-06
49	9.99164e-05	5.45542e-06	5.45542e-06
50	0.000104105	5.59831e-06	5.59831e-06
51	0.000108401	5.74134e-06	5.74134e-06
52	0.000112805	5.88433e-06	5.88433e-06
53	0.000117319	6.02748e-06	6.02748e-06
54	0.000121943	6.17137e-06	6.17137e-06
55	0.000126678	6.31664e-06	6.31664e-06
56	0.000131526	6.46374e-06	6.46374e-06
57	0.000136487	6.61275e-06	6.61275e-06
58	0.000141561	6.76344e-06	6.76344e-06
59	0.000146748	6.91548e-06	6.91548e-06
60	0.00015205	7.06863e-06	7.06863e-06
61	0.000157466	7.22274e-06	7.22274e-06
62	0.000162998	7.37768e-06	7.37768e-06
63	0.000168647	7.53329e-06	7.53329e-06
64	0.000174413	7.68943e-06	7.68943e-06
65	0.000180299	7.84601e-06	7.84601e-06
66	0.000186303	8.00306e-06	8.00306e-06
67	0.000192427	8.16069e-06	8.16069e-06
68	0.000198671	8.31906e-06	8.31906e-06
69	0.000205036	8.47832e-06	8.47832e-06
70	0.000211521	8.63852e-06	8.63852e-06
71	0.000218128	8.79959e-06	8.79959e-06
72	0.000224857	8.96145e-06	8.96145e-06
73	0.00023171	9.12417e-06	9.12417e-06
74	0.000238684	9.28782e-06	9.28782e-06
75	0.000245782	9.45218e-06	9.45218e-06
76	0.000253004	9.61692e-06	9.61692e-06
77	0.00026035	9.78185e-06	9.78185e-06
78	0.000267821	9.9471e-06	9.9471e-06
79	0.000275418	1.01128e-05	1.01128e-05
80	0.000283141	1.02791e-05	1.02791e-05
81	0.00029099	1.0446e-05	1.0446e-05
82	0.000298966	1.06139e-05	1.06139e-05
83	0.000307068	1.07832e-05	1.07832e-05
84	0.000315298	1.09541e-05	1.09541e-05
85	0.000323654	1.11269e-05	1.11269e-05
86	0.000332135	1.13022e-05	1.13022e-05
87	0.000340739	1.14801e-05	1.14801e-05
