Cell_ID	disp_x	disp_y	disp_z
0	1.43414e-05	7.65079e-06	7.65079e-06
1	2.28083e-05	1.00209e-05	1.00209e-05
2	3.20147e-05	1.1456e-05	1.1456e-05
3	4.10014e-05	1.23479e-05	1.23479e-05
4	5.01821e-05	1.28188e-05	1.28188e-05
5	5.95223e-05	1.30706e-05	1.30706e-05
6	6.90433e-05	1.31808e-05	1.31808e-05
7	7.87007e-05	1.32174e-05	1.32174e-05
8	8.84631e-05	1.32166e-05	1.32166e-05
9	9.82975e-05	1.3201e-05	1.3201e-05
10	0.000108179	1.31819e-05	1.31819e-05
11	0.00011809	1.3165e-05	1.3165e-05
12	0.000128018	1.31521e-05	1.31521e-05
13	0.000137956	1.31434e-05	1.31434e-05
14	0.000147898	1.31382e-05	1.31382e-05
15	0.000157843	1.31357e-05	1.31357e-05
16	0.000167789	1.31351e-05	1.31351e-05
17	0.000177737	1.31358e-05	1.31358e-05
18	0.000187685	1.31373e-05	1.31373e-05
19	0.000197634	1.31394e-05	1.31394e-05
20	0.000207584	1.31417e-05	1.31417e-05
21	0.000217536	1.31443e-05	1.31443e-05
22	0.00022749	1.31471e-05	1.31471e-05
23	0.000237446	1.31499e-05	1.31499e-05
24	0.000247404	1.31529e-05	1.31529e-05
25	0.000257364	1.31559e-05	1.31559e-05
26	0.000267326	1.3159e-05	1.3159e-05
27	0.000277291	1.31623e-05	1.31623e-05
28	0.000287258	1.31657e-05	1.31657e-05
29	0.000297227	1.31691e-05	1.31691e-05
30	0.0003072	1.31727e-05	1.31727e-05
31	0.000317175	1.31764e-05	1.31764e-05
32	0.000327152	1.31801e-05	1.31801e-05
33	0.000337133	1.3184e-05	1.3184e-05
34	0.000347117	1.3188e-05	1.3188e-05
35	0.000357103	1.3192e-05	1.3192e-05
36	0.000367093	1.31962e-05	1.31962e-05
37	0.000377086	1.32004e-05	1.32004e-05
38	0.000387082	1.32048e-05	1.32048e-05
39	0.000397082	1.32092e-05	1.32092e-05
40	0.000407085	1.32138e-05	1.32138e-05
41	0.000417091	1.32184e-05	1.32184e-05
42	0.000427101	1.32232e-05	1.32232e-05
43	0.000437115	1.3228e-05	1.3228e-05
44	0.000447132	1.32329e-05	1.32329e-05
45	0.000457153	1.32378e-05	1.32378e-05
46	0.000467178	1.32429e-05	1.32429e-05
47	0.000477206	1.3248e-05	1.3248e-05
48	0.000487239	1.32532e-05	1.32532e-05
49	0.000497275	1.32585e-05	1.32585e-05
50	0.000507315	1.32639e-05	1.32639e-05
51	0.00051736	1.32693e-05	1.32693e-05
52	0.000527409	1.32748e-05	1.32748e-05
53	0.000537462	1.32804e-05	1.32804e-05
54	0.000547519	1.32861e-05	1.32861e-05
55	0.00055758	1.32918e-05	1.32918e-05
56	0.000567646	1.32976e-05	1.32976e-05
57	0.000577716	1.33035e-05	1.33035e-05
58	0.000587791	1.33095e-05	1.33095e-05
59	0.00059787	1.33155e-05	1.33155e-05
60	0.000607954	1.33216e-05	1.33216e-05
61	0.000618042	1.33277e-05	1.33277e-05
62	0.000628135	1.33339e-05	1.33339e-05
63	0.000638233	1.33402e-05	1.33402e-05
64	0.000648335	1.33465e-05	1.33465e-05
65	0.000658443	1.33528e-05	1.33528e-05
66	0.000668555	1.33593e-05	1.33593e-05
67	0.000678672	1.33658e-05	1.33658e-05
68	0.000688794	1.33723e-05	1.33723e-05
69	0.00069892	1.33788e-05	1.33788e-05
70	0.000709052	1.33854e-05	1.33854e-05
71	0.000719189	1.3392e-05	1.3392e-05
72	0.000729331	1.33987e-05	1.33987e-05
73	0.000739477	1.34053e-05	1.34053e-05
74	0.000749629	1.3412e-05	1.3412e-05
75	0.000759786	1.34187e-05	1.34187e-05
76	0.000769948	1.34253e-05	1.34253e-05
77	0.000780115	1.3432e-05	1.3432e-05
78	0.000790287	1.34387e-05	1.34387e-05
79	0.000800465	1.34455e-05	1.34455e-05
80	0.000810648	1.34524e-05	1.34524e-05
81	0.000820837	1.34596e-05	1.34596e-05
82	0.000831031	1.34673e-05	1.34673e-05
83	0.00084123	1.34757e-05	1.34757e-05
84	0.000851435	1.34853e-05	1.34853e-05
85	0.000861644	1.34965e-05	1.34965e-05
86	0.000871855	1.35098e-05	1.35098e-05
87	0.000882066	1.35256e-05	1.35256e-05
88	0.000892272	1.35435e-05	1.35435e-05
89	0.000902465	1.35624e-05	1.35624e-05
90	0.000912633	1.35783e-05	1.35783e-05
91	0.000922761	1.3584e-05	1.3584e-05
92	0.000932827	1.35641e-05	1.35641e-05
93	0.000942815	1.34971e-05	1.34971e-05
94	0.000952682	1.33309e-05	1.33309e-05
95	0.000962495	1.30129e-05	1.30129e-05
96	0.000972003	1.22865e-05	1.22865e-05
97	0.000981169	1.12864e-05	1.12864e-05
98	0.000986494	9.37119e-06	9.37119e-06
99	0.00100054	9.29929e-06	9.29929e-06
100	1.2507e-05	3.86319e-06	8.27116e-06
101	2.12576e-05	6.27464e-06	1.05236e-05
102	3.09952e-05	7.81138e-06	1.18429e-05
103	4.0242e-05	8.60302e-06	1.26976e-05
104	4.96853e-05	9.01067e-06	1.31298e-05
105	5.92088e-05	9.19191e-06	1.33605e-05
106	6.88568e-05	9.24674e-06	1.34551e-05
107	7.85972e-05	9.24144e-06	1.34824e-05
108	8.8411e-05	9.21168e-06	1.34759e-05
109	9.82751e-05	9.17709e-06	1.34571e-05
110	0.000108173	9.14643e-06	1.34366e-05
111	0.000118091	9.12277e-06	1.34191e-05
112	0.000128022	9.10619e-06	1.34061e-05
113	0.00013796	9.09556e-06	1.33975e-05
114	0.000147901	9.08941e-06	1.33925e-05
115	0.000157845	9.0864e-06	1.33902e-05
116	0.00016779	9.08546e-06	1.33898e-05
117	0.000177736	9.0858e-06	1.33906e-05
118	0.000187684	9.0869e-06	1.33923e-05
119	0.000197633	9.08844e-06	1.33944e-05
120	0.000207583	9.09021e-06	1.33969e-05
121	0.000217535	9.0921e-06	1.33995e-05
122	0.000227488	9.09407e-06	1.34023e-05
123	0.000237444	9.09609e-06	1.34052e-05
124	0.000247401	9.09817e-06	1.34082e-05
125	0.000257361	9.1003e-06	1.34113e-05
126	0.000267323	9.1025e-06	1.34145e-05
127	0.000277288	9.10476e-06	1.34179e-05
128	0.000287255	9.10709e-06	1.34213e-05
129	0.000297224	9.10949e-06	1.34248e-05
130	0.000307197	9.11197e-06	1.34285e-05
131	0.000317172	9.11451e-06	1.34322e-05
132	0.000327149	9.11712e-06	1.3436e-05
133	0.00033713	9.1198e-06	1.344e-05
134	0.000347114	9.12255e-06	1.3444e-05
135	0.0003571	9.12536e-06	1.34482e-05
136	0.00036709	9.12823e-06	1.34524e-05
137	0.000377083	9.13117e-06	1.34567e-05
138	0.000387079	9.13418e-06	1.34612e-05
139	0.000397078	9.13727e-06	1.34657e-05
140	0.000407081	9.14042e-06	1.34704e-05
141	0.000417088	9.14363e-06	1.34751e-05
142	0.000427098	9.1469e-06	1.34799e-05
143	0.000437111	9.15024e-06	1.34848e-05
144	0.000447128	9.15362e-06	1.34898e-05
145	0.000457149	9.15706e-06	1.34949e-05
146	0.000467174	9.16056e-06	1.35e-05
147	0.000477202	9.16411e-06	1.35052e-05
148	0.000487234	9.16771e-06	1.35105e-05
149	0.000497271	9.17136e-06	1.35159e-05
150	0.000507311	9.17507e-06	1.35214e-05
151	0.000517356	9.17883e-06	1.35269e-05
152	0.000527404	9.18264e-06	1.35325e-05
153	0.000537457	9.18651e-06	1.35382e-05
154	0.000547514	9.19044e-06	1.3544e-05
155	0.000557576	9.19441e-06	1.35499e-05
156	0.000567641	9.19843e-06	1.35558e-05
157	0.000577711	9.2025e-06	1.35618e-05
158	0.000587786	9.20663e-06	1.35679e-05
159	0.000597865	9.2108e-06	1.3574e-05
160	0.000607949	9.21501e-06	1.35802e-05
161	0.000618037	9.21926e-06	1.35865e-05
162	0.00062813	9.22355e-06	1.35928e-05
163	0.000638228	9.22788e-06	1.35992e-05
164	0.00064833	9.23225e-06	1.36056e-05
165	0.000658438	9.23667e-06	1.36121e-05
166	0.00066855	9.24113e-06	1.36187e-05
167	0.000678667	9.24561e-06	1.36253e-05
168	0.000688789	9.25012e-06	1.36319e-05
169	0.000698915	9.25466e-06	1.36386e-05
170	0.000709047	9.25922e-06	1.36453e-05
171	0.000719184	9.2638e-06	1.3652e-05
172	0.000729325	9.2684e-06	1.36588e-05
173	0.000739472	9.27301e-06	1.36656e-05
174	0.000749624	9.27761e-06	1.36724e-05
175	0.000759781	9.28221e-06	1.36792e-05
176	0.000769942	9.28679e-06	1.3686e-05
177	0.00078011	9.29136e-06	1.36928e-05
178	0.000790282	9.29594e-06	1.36996e-05
179	0.000800459	9.30055e-06	1.37065e-05
180	0.000810642	9.30527e-06	1.37135e-05
181	0.00082083	9.31023e-06	1.37208e-05
182	0.000831024	9.31566e-06	1.37285e-05
183	0.000841223	9.32187e-06	1.3737e-05
184	0.000851427	9.32936e-06	1.37466e-05
185	0.000861635	9.33879e-06	1.37579e-05
186	0.000871847	9.35098e-06	1.37713e-05
187	0.00088206	9.36679e-06	1.37873e-05
188	0.000892271	9.38681e-06	1.38058e-05
189	0.000902474	9.4108e-06	1.38258e-05
190	0.000912662	9.43645e-06	1.38439e-05
191	0.000922824	9.45789e-06	1.38536e-05
192	0.000932944	9.46193e-06	1.38402e-05
193	0.000943018	9.42565e-06	1.3785e-05
194	0.000953008	9.30267e-06	1.36363e-05
195	0.000962999	9.03146e-06	1.33584e-05
196	0.000972715	8.47172e-06	1.26491e-05
197	0.000982369	7.64669e-06	1.16031e-05
