Cell_ID	disp_x	disp_y	disp_z
0	7.65631e-07	3.99513e-07	3.99513e-07
1	1.23161e-06	5.2591e-07	5.2591e-07
2	1.75018e-06	6.10038e-07	6.10038e-07
3	2.27244e-06	6.73921e-07	6.73921e-07
4	2.82325e-06	7.23886e-07	7.23886e-07
5	3.40423e-06	7.70056e-07	7.70056e-07
6	4.0204e-06	8.15763e-07	8.15763e-07
7	4.67361e-06	8.63823e-07	8.63823e-07
8	5.3664e-06	9.15415e-07	9.15415e-07
9	6.10111e-06	9.71089e-07	9.71089e-07
10	6.8802e-06	1.0309e-06	1.0309e-06
11	7.70614e-06	1.09466e-06	1.09466e-06
12	8.58129e-06	1.16207e-06	1.16207e-06
13	9.50792e-06	1.23279e-06	1.23279e-06
14	1.04882e-05	1.30654e-06	1.30654e-06
15	1.15242e-05	1.3831e-06	1.3831e-06
16	1.26181e-05	1.46233e-06	1.46233e-06
17	1.37719e-05	1.54416e-06	1.54416e-06
18	1.4988e-05	1.62856e-06	1.62856e-06
19	1.62685e-05	1.71557e-06	1.71557e-06
20	1.7616e-05	1.8052e-06	1.8052e-06
21	1.90327e-05	1.89747e-06	1.89747e-06
22	2.05208e-05	1.99238e-06	1.99238e-06
23	2.20825e-05	2.08992e-06	2.08992e-06
24	2.37195e-05	2.19005e-06	2.19005e-06
25	2.54336e-05	2.29272e-06	2.29272e-06
26	2.72262e-05	2.39785e-06	2.39785e-06
27	2.90987e-05	2.50537e-06	2.50537e-06
28	3.10523e-05	2.61518e-06	2.61518e-06
29	3.30886e-05	2.72717e-06	2.72717e-06
30	3.5209e-05	2.8412e-06	2.8412e-06
31	3.7415e-05	2.95712e-06	2.95712e-06
32	3.9708e-05	3.07472e-06	3.07472e-06
33	4.20896e-05	3.19378e-06	3.19378e-06
34	4.45609e-05	3.31412e-06	3.31412e-06
35	4.71231e-05	3.43557e-06	3.43557e-06
36	4.97774e-05	3.55807e-06	3.55807e-06
37	5.25247e-05	3.68162e-06	3.68162e-06
38	5.53662e-05	3.8063e-06	3.8063e-06
39	5.83033e-05	3.93229e-06	3.93229e-06
40	6.13374e-05	4.05976e-06	4.05976e-06
41	6.447e-05	4.18891e-06	4.18891e-06
42	6.77023e-05	4.31986e-06	4.31986e-06
43	7.10356e-05	4.45265e-06	4.45265e-06
44	7.44708e-05	4.5873e-06	4.5873e-06
45	7.80087e-05	4.7238e-06	4.7238e-06
46	8.16505e-05	4.86216e-06	4.86216e-06
47	8.5397e-05	5.00245e-06	5.00245e-06
48	8.92493e-05	5.1447e-06	5.1447e-06
49	9.32084e-05	5.28882e-06	5.28882e-06
50	9.72754e-05	5.4345e-06	5.4345e-06
51	0.000101451	5.58124e-06	5.58124e-06
52	0.000105736	5.7284e-06	5.7284e-06
53	0.000110132	5.87552e-06	5.87552e-06
54	0.00011464	6.02251e-06	6.02251e-06
55	0.00011926	6.16978e-06	6.16978e-06
56	0.000123995	6.31802e-06	6.31802e-06
57	0.000128844	6.4679e-06	6.4679e-06
58	0.000133808	6.61975e-06	6.61975e-06
59	0.000138889	6.77349e-06	6.77349e-06
60	0.000144085	6.92884e-06	6.92884e-06
61	0.000149399	7.08547e-06	7.08547e-06
62	0.000154831	7.24317e-06	7.24317e-06
63	0.00016038	7.4018e-06	7.4018e-06
64	0.000166049	7.56121e-06	7.56121e-06
65	0.000171838	7.72129e-06	7.72129e-06
66	0.000177749	7.88195e-06	7.88195e-06
67	0.000183781	8.04315e-06	8.04315e-06
68	0.000189936	8.20491e-06	8.20491e-06
69	0.000196214	8.36731e-06	8.36731e-06
70	0.000202616	8.53051e-06	8.53051e-06
71	0.000209142	8.69462e-06	8.69462e-06
72	0.000215792	8.85962e-06	8.85962e-06
73	0.000222567	9.0254e-06	9.0254e-06
74	0.000229468	9.19192e-06	9.19192e-06
75	0.000236495	9.35931e-06	9.35931e-06
76	0.000243648	9.52759e-06	9.52759e-06
77	0.000250929	9.69649e-06	9.69649e-06
78	0.000258336	9.86571e-06	9.86571e-06
79	0.000265871	1.00352e-05	1.00352e-05
80	0.000273535	1.02052e-05	1.02052e-05
81	0.000281329	1.03757e-05	1.03757e-05
82	0.000289251	1.05469e-05	1.05469e-05
83	0.000297304	1.07192e-05	1.07192e-05
84	0.000305487	1.08932e-05	1.08932e-05
85	0.000313798	1.10693e-05	1.10693e-05
86	0.000322238	1.12478e-05	1.12478e-05
87	0.000330803	1.14292e-05	1.14292e-05
88	0.000339489	1.16133e-05	1.16133e-05
89	0.000348289	1.17984e-05	1.17984e-05
90	0.000357191	1.19809e-05	1.19809e-05
91	0.000366181	1.21539e-05	1.21539e-05
92	0.000375237	1.23022e-05	1.23022e-05
93	0.000384343	1.24049e-05	1.24049e-05
94	0.000393457	1.24104e-05	1.24104e-05
95	0.000402644	1.22687e-05	1.22687e-05
96	0.000411657	1.17245e-05	1.17245e-05
97	0.000420488	1.09174e-05	1.09174e-05
98	0.000425644	9.18822e-06	9.18822e-06
99	0.000439562	9.25785e-06	9.25785e-06
100	6.68408e-07	1.97269e-07	4.31905e-07
101	1.14571e-06	3.22206e-07	5.52036e-07
102	1.68682e-06	4.06758e-07	6.30266e-07
103	2.21662e-06	4.58948e-07	6.92667e-07
104	2.775e-06	4.97531e-07	7.41243e-07
105	3.35971e-06	5.3019e-07	7.87068e-07
106	3.97719e-06	5.61394e-07	8.32823e-07
107	4.62999e-06	5.93864e-07	8.81348e-07
108	5.32128e-06	6.28822e-07	9.3368e-07
109	6.05382e-06	6.66784e-07	9.90311e-07
110	6.83044e-06	7.07818e-07	1.05124e-06
111	7.65379e-06	7.51782e-07	1.11623e-06
112	8.52638e-06	7.98443e-07	1.18494e-06
113	9.45056e-06	8.47549e-07	1.25704e-06
114	1.04285e-05	8.98865e-07	1.33221e-06
115	1.14624e-05	9.52194e-07	1.41023e-06
116	1.25542e-05	1.00738e-06	1.49096e-06
117	1.37062e-05	1.06431e-06	1.57434e-06
118	1.49203e-05	1.12292e-06	1.66035e-06
119	1.61991e-05	1.18317e-06	1.74903e-06
120	1.75447e-05	1.24509e-06	1.8404e-06
121	1.89595e-05	1.30869e-06	1.93447e-06
122	2.04457e-05	1.37406e-06	2.03126e-06
123	2.20053e-05	1.44124e-06	2.13073e-06
124	2.36403e-05	1.51029e-06	2.23283e-06
125	2.53522e-05	1.58123e-06	2.33751e-06
126	2.71426e-05	1.65406e-06	2.44467e-06
127	2.90131e-05	1.72871e-06	2.55426e-06
128	3.09648e-05	1.80508e-06	2.66617e-06
129	3.29994e-05	1.88303e-06	2.78031e-06
130	3.51183e-05	1.96239e-06	2.89654e-06
