Cell_ID	disp_x	disp_y	disp_z
0	1.37517e-05	7.33601e-06	7.33601e-06
1	2.18705e-05	9.6087e-06	9.6087e-06
2	3.06987e-05	1.09848e-05	1.09848e-05
3	3.93166e-05	1.18403e-05	1.18403e-05
4	4.81208e-05	1.22922e-05	1.22922e-05
5	5.70784e-05	1.25344e-05	1.25344e-05
6	6.62099e-05	1.26407e-05	1.26407e-05
7	7.54728e-05	1.26767e-05	1.26767e-05
8	8.48369e-05	1.26769e-05	1.26769e-05
9	9.42709e-05	1.2663e-05	1.2663e-05
10	0.000103751	1.26459e-05	1.26459e-05
11	0.00011326	1.2631e-05	1.2631e-05
12	0.000122786	1.262e-05	1.262e-05
13	0.000132323	1.2613e-05	1.2613e-05
14	0.000141865	1.26095e-05	1.26095e-05
15	0.00015141	1.26086e-05	1.26086e-05
16	0.000160958	1.26096e-05	1.26096e-05
17	0.000170508	1.26118e-05	1.26118e-05
18	0.000180061	1.2615e-05	1.2615e-05
19	0.000189615	1.26186e-05	1.26186e-05
20	0.000199173	1.26227e-05	1.26227e-05
21	0.000208733	1.26271e-05	1.26271e-05
22	0.000218297	1.26317e-05	1.26317e-05
23	0.000227864	1.26365e-05	1.26365e-05
24	0.000237434	1.26415e-05	1.26415e-05
25	0.000247008	1.26467e-05	1.26467e-05
26	0.000256586	1.26521e-05	1.26521e-05
27	0.000266169	1.26576e-05	1.26576e-05
28	0.000275755	1.26634e-05	1.26634e-05
29	0.000285346	1.26694e-05	1.26694e-05
30	0.000294942	1.26756e-05	1.26756e-05
31	0.000304542	1.2682e-05	1.2682e-05
32	0.000314148	1.26886e-05	1.26886e-05
33	0.000323758	1.26955e-05	1.26955e-05
34	0.000333374	1.27026e-05	1.27026e-05
35	0.000342996	1.271e-05	1.271e-05
36	0.000352623	1.27176e-05	1.27176e-05
37	0.000362256	1.27255e-05	1.27255e-05
38	0.000371895	1.27336e-05	1.27336e-05
39	0.00038154	1.27419e-05	1.27419e-05
40	0.000391192	1.27505e-05	1.27505e-05
41	0.00040085	1.27593e-05	1.27593e-05
42	0.000410515	1.27683e-05	1.27683e-05
43	0.000420187	1.27775e-05	1.27775e-05
44	0.000429865	1.2787e-05	1.2787e-05
45	0.000439551	1.27967e-05	1.27967e-05
46	0.000449245	1.28066e-05	1.28066e-05
47	0.000458946	1.28168e-05	1.28168e-05
48	0.000468655	1.28271e-05	1.28271e-05
49	0.000478372	1.28377e-05	1.28377e-05
50	0.000488097	1.28485e-05	1.28485e-05
51	0.00049783	1.28596e-05	1.28596e-05
52	0.000507572	1.28709e-05	1.28709e-05
53	0.000517322	1.28824e-05	1.28824e-05
54	0.000527082	1.28942e-05	1.28942e-05
55	0.00053685	1.29063e-05	1.29063e-05
56	0.000546627	1.29185e-05	1.29185e-05
