Cell_ID	disp_x	disp_y	disp_z
0	1.34287e-05	7.16376e-06	7.16376e-06
1	2.13568e-05	9.38309e-06	9.38309e-06
2	2.99774e-05	1.07268e-05	1.07268e-05
3	3.83925e-05	1.15621e-05	1.15621e-05
4	4.69896e-05	1.20032e-05	1.20032e-05
5	5.57364e-05	1.22394e-05	1.22394e-05
6	6.46528e-05	1.2343e-05	1.2343e-05
7	7.36976e-05	1.23779e-05	1.23779e-05
8	8.28413e-05	1.2378e-05	1.2378e-05
9	9.20531e-05	1.23643e-05	1.23643e-05
10	0.00010131	1.23476e-05	1.23476e-05
11	0.000110595	1.23331e-05	1.23331e-05
12	0.000119897	1.23224e-05	1.23224e-05
13	0.00012921	1.23159e-05	1.23159e-05
14	0.000138528	1.23128e-05	1.23128e-05
15	0.00014785	1.23124e-05	1.23124e-05
16	0.000157175	1.23141e-05	1.23141e-05
17	0.000166503	1.23171e-05	1.23171e-05
18	0.000175834	1.23212e-05	1.23212e-05
19	0.000185167	1.2326e-05	1.2326e-05
20	0.000194505	1.23314e-05	1.23314e-05
21	0.000203846	1.23373e-05	1.23373e-05
22	0.000213192	1.23435e-05	1.23435e-05
23	0.000222542	1.23501e-05	1.23501e-05
24	0.000231897	1.2357e-05	1.2357e-05
25	0.000241258	1.23643e-05	1.23643e-05
26	0.000250624	1.23719e-05	1.23719e-05
27	0.000259996	1.23799e-05	1.23799e-05
28	0.000269374	1.23881e-05	1.23881e-05
29	0.000278758	1.23966e-05	1.23966e-05
30	0.000288148	1.24054e-05	1.24054e-05
31	0.000297546	1.24145e-05	1.24145e-05
32	0.00030695	1.24239e-05	1.24239e-05
33	0.000316362	1.24336e-05	1.24336e-05
34	0.000325781	1.24436e-05	1.24436e-05
35	0.000335208	1.24539e-05	1.24539e-05
36	0.000344642	1.24645e-05	1.24645e-05
37	0.000354085	1.24754e-05	1.24754e-05
38	0.000363536	1.24866e-05	1.24866e-05
39	0.000372996	1.24981e-05	1.24981e-05
40	0.000382465	1.251e-05	1.251e-05
41	0.000391943	1.25221e-05	1.25221e-05
42	0.00040143	1.25345e-05	1.25345e-05
43	0.000410926	1.25472e-05	1.25472e-05
44	0.000420433	1.25602e-05	1.25602e-05
45	0.000429949	1.25735e-05	1.25735e-05
46	0.000439475	1.2587e-05	1.2587e-05
47	0.000449012	1.26008e-05	1.26008e-05
48	0.000458559	1.26149e-05	1.26149e-05
49	0.000468117	1.26293e-05	1.26293e-05
50	0.000477686	1.2644e-05	1.2644e-05
51	0.000487266	1.26589e-05	1.26589e-05
52	0.000496857	1.26741e-05	1.26741e-05
53	0.00050646	1.26895e-05	1.26895e-05
54	0.000516074	1.27051e-05	1.27051e-05
55	0.000525701	1.2721e-05	1.2721e-05
56	0.000535339	1.27371e-05	1.27371e-05
57	0.00054499	1.27534e-05	1.27534e-05
58	0.000554653	1.277e-05	1.277e-05
59	0.000564329	1.27868e-05	1.27868e-05
60	0.000574018	1.28037e-05	1.28037e-05
61	0.000583719	1.28209e-05	1.28209e-05
62	0.000593434	1.28383e-05	1.28383e-05
63	0.000603161	1.28558e-05	1.28558e-05
64	0.000612902	1.28735e-05	1.28735e-05
65	0.000622656	1.28913e-05	1.28913e-05
66	0.000632424	1.29094e-05	1.29094e-05
67	0.000642206	1.29276e-05	1.29276e-05
68	0.000652001	1.29459e-05	1.29459e-05
69	0.000661811	1.29645e-05	1.29645e-05
70	0.000671634	1.29832e-05	1.29832e-05
71	0.000681472	1.30021e-05	1.30021e-05
72	0.000691324	1.30211e-05	1.30211e-05
73	0.00070119	1.30403e-05	1.30403e-05
74	0.000711072	1.30596e-05	1.30596e-05
75	0.000720968	1.30791e-05	1.30791e-05
76	0.000730878	1.30987e-05	1.30987e-05
77	0.000740804	1.31185e-05	1.31185e-05
78	0.000750745	1.31385e-05	1.31385e-05
79	0.000760701	1.31587e-05	1.31587e-05
80	0.000770673	1.31791e-05	1.31791e-05
81	0.00078066	1.31998e-05	1.31998e-05
82	0.000790663	1.32211e-05	1.32211e-05
83	0.000800681	1.32432e-05	1.32432e-05
84	0.000810716	1.32665e-05	1.32665e-05
85	0.000820764	1.32914e-05	1.32914e-05
86	0.000830826	1.33186e-05	1.33186e-05
87	0.000840898	1.33482e-05	1.33482e-05
88	0.000850974	1.338e-05	1.338e-05
89	0.000861049	1.34128e-05	1.34128e-05
90	0.000871109	1.34427e-05	1.34427e-05
91	0.00088114	1.34625e-05	1.34625e-05
92	0.000891121	1.34567e-05	1.34567e-05
93	0.000901033	1.34041e-05	1.34041e-05
94	0.000910835	1.32524e-05	1.32524e-05
95	0.000920594	1.29492e-05	1.29492e-05
96	0.000930059	1.22381e-05	1.22381e-05
97	0.000939196	1.12542e-05	1.12542e-05
98	0.000944506	9.35433e-06	9.35433e-06
99	0.000958542	9.29363e-06	9.29363e-06
100	1.1711e-05	3.61721e-06	7.74468e-06
101	1.99046e-05	5.8752e-06	9.85381e-06
102	2.90227e-05	7.31412e-06	1.10891e-05
103	3.76813e-05	8.05541e-06	1.18896e-05
104	4.65242e-05	8.43723e-06	1.22945e-05
105	5.54425e-05	8.60712e-06	1.25109e-05
106	6.44778e-05	8.65874e-06	1.25998e-05
107	7.36001e-05	8.65419e-06	1.2626e-05
108	8.27918e-05	8.62687e-06	1.26208e-05
109	9.20313e-05	8.59515e-06	1.26042e-05
110	0.000101303	8.56724e-06	1.25862e-05
111	0.000110595	8.54598e-06	1.25711e-05
112	0.0001199	8.53145e-06	1.25604e-05
113	0.000129212	8.5226e-06	1.2554e-05
114	0.000138529	8.51806e-06	1.25512e-05
115	0.00014785	8.51657e-06	1.2551e-05
116	0.000157174	8.51717e-06	1.25529e-05
117	0.000166501	8.51914e-06	1.25561e-05
118	0.000175831	8.522e-06	1.25604e-05
119	0.000185164	8.52543e-06	1.25653e-05
120	0.000194501	8.52926e-06	1.25708e-05
121	0.000203842	8.5334e-06	1.25768e-05
122	0.000213187	8.53779e-06	1.25832e-05
123	0.000222537	8.54241e-06	1.25899e-05
124	0.000231892	8.54726e-06	1.2597e-05
125	0.000241252	8.55233e-06	1.26044e-05
126	0.000250618	8.55763e-06	1.26122e-05
127	0.000259989	8.56315e-06	1.26202e-05
128	0.000269367	8.56887e-06	1.26286e-05
129	0.000278751	8.57478e-06	1.26373e-05
130	0.000288141	8.58088e-06	1.26463e-05
131	0.000297539	8.58716e-06	1.26556e-05
132	0.000306943	8.59365e-06	1.26651e-05
133	0.000316354	8.60036e-06	1.2675e-05
134	0.000325773	8.60729e-06	1.26852e-05
135	0.0003352	8.61442e-06	1.26957e-05
136	0.000344634	8.62176e-06	1.27065e-05
137	0.000354077	8.62929e-06	1.27176e-05
138	0.000363528	8.63703e-06	1.27291e-05
139	0.000372987	8.64499e-06	1.27408e-05
140	0.000382456	8.65318e-06	1.27529e-05
141	0.000391933	8.66158e-06	1.27652e-05
142	0.00040142	8.67018e-06	1.27779e-05
143	0.000410916	8.67898e-06	1.27909e-05
144	0.000420422	8.68797e-06	1.28041e-05
145	0.000429938	8.69714e-06	1.28176e-05
146	0.000439464	8.70651e-06	1.28314e-05
147	0.000449001	8.71607e-06	1.28455e-05
148	0.000458548	8.72583e-06	1.28599e-05
149	0.000468105	8.73578e-06	1.28745e-05
150	0.000477674	8.74593e-06	1.28895e-05
151	0.000487254	8.75628e-06	1.29047e-05
152	0.000496845	8.76679e-06	1.29201e-05
153	0.000506447	8.77747e-06	1.29359e-05
154	0.000516062	8.78829e-06	1.29518e-05
155	0.000525688	8.79927e-06	1.2968e-05
156	0.000535327	8.8104e-06	1.29844e-05
157	0.000544977	8.82171e-06	1.30011e-05
158	0.00055464	8.83318e-06	1.30179e-05
159	0.000564316	8.84481e-06	1.3035e-05
160	0.000574004	8.85658e-06	1.30523e-05
161	0.000583706	8.86848e-06	1.30699e-05
162	0.00059342	8.8805e-06	1.30875e-05
163	0.000603147	8.89264e-06	1.31054e-05
164	0.000612888	8.90489e-06	1.31235e-05
165	0.000622642	8.91724e-06	1.31417e-05
166	0.00063241	8.92971e-06	1.316e-05
167	0.000642191	8.94228e-06	1.31786e-05
168	0.000651987	8.95498e-06	1.31973e-05
169	0.000661796	8.96781e-06	1.32162e-05
170	0.000671619	8.98077e-06	1.32353e-05
171	0.000681457	8.99384e-06	1.32546e-05
172	0.000691309	9.007e-06	1.3274e-05
173	0.000701175	9.02024e-06	1.32935e-05
174	0.000711056	9.03358e-06	1.33132e-05
175	0.000720952	9.04703e-06	1.3333e-05
176	0.000730863	9.0606e-06	1.3353e-05
177	0.000740788	9.07429e-06	1.33732e-05
178	0.000750729	9.08809e-06	1.33936e-05
179	0.000760685	9.10199e-06	1.34141e-05
180	0.000770656	9.11606e-06	1.34349e-05
181	0.000780643	9.1304e-06	1.3456e-05
182	0.000790645	9.14523e-06	1.34776e-05
183	0.000800663	9.1609e-06	1.34999e-05
184	0.000810697	9.1779e-06	1.35235e-05
185	0.000820745	9.19689e-06	1.35488e-05
186	0.000830807	9.21865e-06	1.35763e-05
187	0.000840881	9.24405e-06	1.36064e-05
188	0.000850963	9.27367e-06	1.36391e-05
189	0.000861048	9.30726e-06	1.36733e-05
190	0.000871127	9.34256e-06	1.37057e-05
191	0.000881192	9.37371e-06	1.37297e-05
192	0.000891226	9.38756e-06	1.37307e-05
193	0.000901225	9.36121e-06	1.36901e-05
194	0.00091115	9.24832e-06	1.35562e-05
195	0.000921087	8.98749e-06	1.32934e-05
196	0.000930759	8.43847e-06	1.25997e-05
197	0.000940384	7.62423e-06	1.15704e-05
198	0.000945148	6.71167e-06	9.28836e-06
199	0.000958546	6.33764e-06	9.31959e-06
200	1.10914e-05	2.29794e-06	7.55666e-06
201	1.91028e-05	4.11859e-06	9.68573e-06
202	2.82317e-05	5.359e-06	1.09363e-05
203	3.70637e-05	6.01999e-06	1.16642e-05
204	4.60793e-05	6.36017e-06	1.20105e-05
205	5.51389e-05	6.50174e-06	1.21801e-05
206	6.42844e-05	6.53906e-06	1.22349e-05
207	7.3484e-05	6.52707e-06	1.22382e-05
208	8.27268e-05	6.49684e-06	1.22184e-05
209	9.1998e-05	6.46446e-06	1.21933e-05
210	0.000101288	6.43689e-06	1.21706e-05
211	0.00011059	6.41624e-06	1.21532e-05
212	0.000119899	6.40224e-06	1.21416e-05
213	0.000129213	6.39368e-06	1.2135e-05
214	0.00013853	6.38915e-06	1.21323e-05
215	0.00014785	6.38744e-06	1.21323e-05
216	0.000157174	6.38761e-06	1.21343e-05
217	0.000166499	6.38897e-06	1.21376e-05
218	0.000175829	6.3911e-06	1.21419e-05
219	0.000185161	6.3937e-06	1.21468e-05
220	0.000194498	6.39661e-06	1.21522e-05
221	0.000203838	6.39975e-06	1.2158e-05
222	0.000213183	6.40308e-06	1.21642e-05
223	0.000222533	6.40657e-06	1.21707e-05
224	0.000231887	6.41022e-06	1.21775e-05
225	0.000241247	6.41404e-06	1.21847e-05
226	0.000250613	6.41803e-06	1.21922e-05
227	0.000259984	6.42218e-06	1.22e-05
228	0.000269362	6.42648e-06	1.22082e-05
229	0.000278745	6.43092e-06	1.22166e-05
230	0.000288136	6.43549e-06	1.22252e-05
231	0.000297533	6.4402e-06	1.22342e-05
232	0.000306937	6.44507e-06	1.22434e-05
233	0.000316348	6.4501e-06	1.2253e-05
234	0.000325767	6.45529e-06	1.22628e-05
235	0.000335193	6.46064e-06	1.2273e-05
236	0.000344627	6.46614e-06	1.22835e-05
237	0.00035407	6.47179e-06	1.22942e-05
238	0.00036352	6.4776e-06	1.23052e-05
239	0.00037298	6.48358e-06	1.23166e-05
240	0.000382448	6.48972e-06	1.23282e-05
241	0.000391925	6.49601e-06	1.23402e-05
242	0.000401412	6.50246e-06	1.23525e-05
243	0.000410908	6.50906e-06	1.2365e-05
244	0.000420414	6.51579e-06	1.23778e-05
245	0.00042993	6.52267e-06	1.23909e-05
246	0.000439456	6.5297e-06	1.24042e-05
247	0.000448992	6.53688e-06	1.24178e-05
248	0.000458539	6.54421e-06	1.24317e-05
249	0.000468096	6.55168e-06	1.24459e-05
250	0.000477664	6.55929e-06	1.24603e-05
251	0.000487244	6.56705e-06	1.2475e-05
252	0.000496835	6.57494e-06	1.249e-05
253	0.000506438	6.58295e-06	1.25051e-05
254	0.000516052	6.59107e-06	1.25206e-05
255	0.000525678	6.5993e-06	1.25362e-05
256	0.000535316	6.60766e-06	1.25521e-05
257	0.000544967	6.61614e-06	1.25682e-05
258	0.00055463	6.62475e-06	1.25845e-05
259	0.000564305	6.63348e-06	1.26011e-05
260	0.000573994	6.64231e-06	1.26178e-05
261	0.000583695	6.65124e-06	1.26347e-05
262	0.000593409	6.66026e-06	1.26518e-05
263	0.000603136	6.66936e-06	1.26691e-05
264	0.000612877	6.67855e-06	1.26865e-05
265	0.000622631	6.68783e-06	1.27041e-05
266	0.000632398	6.69717e-06	1.27219e-05
267	0.00064218	6.7066e-06	1.27398e-05
268	0.000651975	6.71612e-06	1.27579e-05
269	0.000661784	6.72574e-06	1.27762e-05
270	0.000671607	6.73546e-06	1.27946e-05
271	0.000681445	6.74526e-06	1.28133e-05
272	0.000691297	6.75513e-06	1.2832e-05
273	0.000701163	6.76505e-06	1.28509e-05
274	0.000711044	6.77505e-06	1.28699e-05
275	0.00072094	6.78513e-06	1.28891e-05
276	0.00073085	6.7953e-06	1.29084e-05
277	0.000740776	6.80555e-06	1.29279e-05
278	0.000750716	6.81588e-06	1.29476e-05
279	0.000760672	6.8263e-06	1.29674e-05
280	0.000770643	6.83683e-06	1.29874e-05
281	0.000780629	6.8476e-06	1.30077e-05
282	0.000790631	6.8588e-06	1.30284e-05
283	0.000800648	6.87076e-06	1.30499e-05
284	0.000810682	6.88394e-06	1.30726e-05
285	0.00082073	6.89897e-06	1.30971e-05
286	0.000830793	6.91663e-06	1.3124e-05
287	0.00084087	6.93779e-06	1.31541e-05
288	0.000850959	6.96316e-06	1.31877e-05
289	0.000861057	6.99272e-06	1.32245e-05
290	0.000871159	7.02467e-06	1.32621e-05
291	0.000881258	7.05379e-06	1.32954e-05
292	0.000891344	7.06824e-06	1.33113e-05
293	0.000901415	7.04618e-06	1.32929e-05
294	0.000911431	6.94783e-06	1.31877e-05
295	0.000921475	6.71959e-06	1.29564e-05
296	0.000931209	6.29886e-06	1.22768e-05
297	0.000940882	5.72866e-06	1.12021e-05
298	0.000945684	5.17679e-06	8.95413e-06
299	0.000959403	4.65267e-06	9.15463e-06
300	1.1069e-05	1.31131e-06	7.70927e-06
301	1.88127e-05	2.30019e-06	9.94957e-06
302	2.77653e-05	3.06541e-06	1.12039e-05
303	3.66279e-05	3.53288e-06	1.18957e-05
304	4.57213e-05	3.7711e-06	1.22015e-05
305	5.48743e-05	3.8673e-06	1.23326e-05
306	6.41033e-05	3.88977e-06	1.23586e-05
307	7.33677e-05	3.87771e-06	1.23419e-05
308	8.26568e-05	3.85376e-06	1.23094e-05
309	9.19587e-05	3.82911e-06	1.22768e-05
310	0.000101268	3.8085e-06	1.225e-05
311	0.000110581	3.7932e-06	1.22308e-05
312	0.000119896	3.78287e-06	1.22185e-05
313	0.000129212	3.77653e-06	1.22117e-05
314	0.000138531	3.7731e-06	1.22092e-05
315	0.000147851	3.77169e-06	1.22095e-05
316	0.000157173	3.77159e-06	1.22117e-05
317	0.000166499	3.77231e-06	1.22153e-05
318	0.000175827	3.77355e-06	1.22198e-05
319	0.00018516	3.7751e-06	1.22248e-05
320	0.000194496	3.77685e-06	1.22303e-05
321	0.000203836	3.77873e-06	1.22362e-05
322	0.00021318	3.78072e-06	1.22424e-05
323	0.00022253	3.78279e-06	1.2249e-05
324	0.000231884	3.78496e-06	1.22559e-05
325	0.000241244	3.78722e-06	1.22631e-05
326	0.00025061	3.78958e-06	1.22707e-05
327	0.000259981	3.79204e-06	1.22785e-05
