Cell_ID	disp_x	disp_y	disp_z
0	1.99255e-11	7.30407e-12	7.30407e-12
1	4.23542e-11	1.31203e-11	1.31203e-11
2	8.2457e-11	2.36357e-11	2.36357e-11
3	1.52214e-10	4.27422e-11	4.27422e-11
4	2.7362e-10	7.62458e-11	7.62458e-11
5	4.81437e-10	1.33654e-10	1.33654e-10
6	8.30354e-10	2.29797e-10	2.29797e-10
7	1.40423e-09	3.8732e-10	3.8732e-10
8	2.32851e-09	6.39811e-10	6.39811e-10
9	3.78594e-09	1.03572e-09	1.03572e-09
10	6.03567e-09	1.64294e-09	1.64294e-09
11	9.43529e-09	2.55384e-09	2.55384e-09
12	1.44647e-08	3.89041e-09	3.89041e-09
13	2.17506e-08	5.80888e-09	5.80888e-09
14	3.20886e-08	8.50331e-09	8.50331e-09
15	4.64624e-08	1.22075e-08	1.22075e-08
16	6.60575e-08	1.7195e-08	1.7195e-08
17	9.22684e-08	2.37764e-08	2.37764e-08
18	1.26702e-07	3.22959e-08	3.22959e-08
19	1.71176e-07	4.3125e-08	4.3125e-08
20	2.27724e-07	5.66582e-08	5.66582e-08
21	2.98596e-07	7.33068e-08	7.33068e-08
22	3.86278e-07	9.34954e-08	9.34954e-08
23	4.93512e-07	1.17658e-07	1.17658e-07
24	6.23325e-07	1.46236e-07	1.46236e-07
25	7.79057e-07	1.79668e-07	1.79668e-07
26	9.64382e-07	2.18389e-07	2.18389e-07
27	1.18331e-06	2.62812e-07	2.62812e-07
28	1.44014e-06	3.13312e-07	3.13312e-07
29	1.73943e-06	3.70207e-07	3.70207e-07
30	2.08588e-06	4.33734e-07	4.33734e-07
31	2.48419e-06	5.04025e-07	5.04025e-07
32	2.93895e-06	5.8109e-07	5.8109e-07
33	3.4545e-06	6.64806e-07	6.64806e-07
34	4.03487e-06	7.54928e-07	7.54928e-07
35	4.68375e-06	8.51104e-07	8.51104e-07
36	5.40452e-06	9.52912e-07	9.52912e-07
37	6.20042e-06	1.0599e-06	1.0599e-06
38	7.07465e-06	1.17163e-06	1.17163e-06
39	8.03051e-06	1.28767e-06	1.28767e-06
40	9.07149e-06	1.40766e-06	1.40766e-06
41	1.02013e-05	1.53126e-06	1.53126e-06
42	1.14236e-05	1.65817e-06	1.65817e-06
43	1.27424e-05	1.78817e-06	1.78817e-06
44	1.4161e-05	1.92106e-06	1.92106e-06
45	1.56829e-05	2.05672e-06	2.05672e-06
46	1.73108e-05	2.19511e-06	2.19511e-06
47	1.90472e-05	2.33629e-06	2.33629e-06
48	2.08943e-05	2.48048e-06	2.48048e-06
49	2.28545e-05	2.62804e-06	2.62804e-06
50	2.493e-05	2.77947e-06	2.77947e-06
51	2.71236e-05	2.93527e-06	2.93527e-06
52	2.9438e-05	3.09587e-06	3.09587e-06
53	3.18761e-05	3.26147e-06	3.26147e-06
54	3.44407e-05	3.432e-06	3.432e-06
55	3.71344e-05	3.60715e-06	3.60715e-06
56	3.99598e-05	3.78651e-06	3.78651e-06
57	4.29193e-05	3.9696e-06	3.9696e-06
58	4.60155e-05	4.15604e-06	4.15604e-06
59	4.92508e-05	4.34555e-06	4.34555e-06
60	5.26276e-05	4.53795e-06	4.53795e-06
61	5.61481e-05	4.73299e-06	4.73299e-06
62	5.98143e-05	4.93028e-06	4.93028e-06
63	6.36283e-05	5.12917e-06	5.12917e-06
64	6.75922e-05	5.32894e-06	5.32894e-06
65	7.17089e-05	5.52919e-06	5.52919e-06
66	7.59812e-05	5.73014e-06	5.73014e-06
67	8.04117e-05	5.93279e-06	5.93279e-06
68	8.50022e-05	6.13852e-06	6.13852e-06
69	8.97537e-05	6.34849e-06	6.34849e-06
70	9.46665e-05	6.56307e-06	6.56307e-06
71	9.97412e-05	6.78185e-06	6.78185e-06
72	0.000104979	7.0039e-06	7.0039e-06
73	0.000110382	7.22825e-06	7.22825e-06
