Cell_ID	disp_x	disp_y	disp_z
0	4.07163e-07	2.08543e-07	2.08543e-07
1	6.61765e-07	2.76163e-07	2.76163e-07
2	9.51001e-07	3.24932e-07	3.24932e-07
3	1.25019e-06	3.66884e-07	3.66884e-07
4	1.57397e-06	4.05234e-07	4.05234e-07
5	1.92472e-06	4.45067e-07	4.45067e-07
6	2.30661e-06	4.87869e-07	4.87869e-07
7	2.7221e-06	5.3484e-07	5.3484e-07
8	3.17397e-06	5.86325e-07	5.86325e-07
9	3.66495e-06	6.42353e-07	6.42353e-07
10	4.1979e-06	7.02711e-07	7.02711e-07
11	4.77576e-06	7.6708e-07	7.6708e-07
12	5.4015e-06	8.35101e-07	8.35101e-07
13	6.07805e-06	9.06412e-07	9.06412e-07
14	6.8082e-06	9.80667e-07	9.80667e-07
15	7.5945e-06	1.05755e-06	1.05755e-06
16	8.43925e-06	1.13679e-06	1.13679e-06
17	9.34443e-06	1.21815e-06	1.21815e-06
18	1.03118e-05	1.30147e-06	1.30147e-06
19	1.13428e-05	1.38665e-06	1.38665e-06
20	1.24389e-05	1.47366e-06	1.47366e-06
21	1.36015e-05	1.56257e-06	1.56257e-06
22	1.48322e-05	1.6535e-06	1.6535e-06
23	1.61327e-05	1.74659e-06	1.74659e-06
24	1.75049e-05	1.84202e-06	1.84202e-06
25	1.89508e-05	1.93992e-06	1.93992e-06
26	2.04726e-05	2.0404e-06	2.0404e-06
27	2.20722e-05	2.14354e-06	2.14354e-06
28	2.37518e-05	2.24937e-06	2.24937e-06
29	2.55132e-05	2.35789e-06	2.35789e-06
30	2.73581e-05	2.46905e-06	2.46905e-06
31	2.9288e-05	2.58278e-06	2.58278e-06
32	3.13043e-05	2.699e-06	2.699e-06
33	3.34084e-05	2.81757e-06	2.81757e-06
34	3.56016e-05	2.93839e-06	2.93839e-06
35	3.78856e-05	3.06128e-06	3.06128e-06
36	4.02618e-05	3.18607e-06	3.18607e-06
37	4.27319e-05	3.31257e-06	3.31257e-06
38	4.52974e-05	3.44055e-06	3.44055e-06
39	4.79596e-05	3.56984e-06	3.56984e-06
40	5.07197e-05	3.70032e-06	3.70032e-06
41	5.35789e-05	3.83196e-06	3.83196e-06
42	5.65383e-05	3.96482e-06	3.96482e-06
43	5.9599e-05	4.09901e-06	4.09901e-06
44	6.27625e-05	4.23473e-06	4.23473e-06
45	6.60303e-05	4.37213e-06	4.37213e-06
46	6.94039e-05	4.51135e-06	4.51135e-06
47	7.28848e-05	4.65243e-06	4.65243e-06
48	7.64743e-05	4.79537e-06	4.79537e-06
49	8.01736e-05	4.9402e-06	4.9402e-06
50	8.39836e-05	5.08707e-06	5.08707e-06
51	8.7905e-05	5.23616e-06	5.23616e-06
52	9.19387e-05	5.38759e-06	5.38759e-06
53	9.60854e-05	5.54122e-06	5.54122e-06
54	0.000100346	5.69653e-06	5.69653e-06
55	0.000104722	5.85274e-06	5.85274e-06
56	0.000109215	6.00911e-06	6.00911e-06
57	0.000113826	6.16527e-06	6.16527e-06
58	0.000118557	6.3214e-06	6.3214e-06
59	0.000123408	6.47816e-06	6.47816e-06
60	0.000128381	6.63627e-06	6.63627e-06
61	0.000133475	6.79622e-06	6.79622e-06
62	0.000138691	6.95812e-06	6.95812e-06
63	0.00014403	7.12182e-06	7.12182e-06
64	0.000149493	7.28705e-06	7.28705e-06
65	0.00015508	7.45353e-06	7.45353e-06
66	0.000160793	7.62101e-06	7.62101e-06
67	0.000166631	7.78927e-06	7.78927e-06
68	0.000172596	7.95822e-06	7.95822e-06
69	0.000178689	8.12788e-06	8.12788e-06
70	0.00018491	8.29827e-06	8.29827e-06
71	0.000191261	8.4693e-06	8.4693e-06
72	0.000197741	8.64088e-06	8.64088e-06
73	0.000204353	8.81308e-06	8.81308e-06
74	0.000211095	8.98609e-06	8.98609e-06
75	0.00021797	9.16003e-06	9.16003e-06
76	0.000224976	9.33478e-06	9.33478e-06
77	0.000232115	9.51024e-06	9.51024e-06
78	0.000239388	9.68647e-06	9.68647e-06
79	0.000246794	9.86356e-06	9.86356e-06
80	0.000254334	1.00415e-05	1.00415e-05
81	0.000262009	1.02202e-05	1.02202e-05
82	0.00026982	1.04e-05	1.04e-05
83	0.000277766	1.0581e-05	1.0581e-05
84	0.000285847	1.07634e-05	1.07634e-05
85	0.000294065	1.09477e-05	1.09477e-05
86	0.000302416	1.11346e-05	1.11346e-05
87	0.000310898	1.13244e-05	1.13244e-05
88	0.000319507	1.1517e-05	1.1517e-05
89	0.000328236	1.17107e-05	1.17107e-05
90	0.000337072	1.19021e-05	1.19021e-05
91	0.000346002	1.2084e-05	1.2084e-05
92	0.000355003	1.2241e-05	1.2241e-05
93	0.00036406	1.23523e-05	1.23523e-05
94	0.00037313	1.23659e-05	1.23659e-05
95	0.000382278	1.22314e-05	1.22314e-05
96	0.000391259	1.16944e-05	1.16944e-05
97	0.000400067	1.08929e-05	1.08929e-05
98	0.00040521	9.16761e-06	9.16761e-06
99	0.000419116	9.23515e-06	9.23515e-06
100	3.55901e-07	1.0115e-07	2.25368e-07
101	6.14783e-07	1.66074e-07	2.89729e-07
102	9.1333e-07	2.12381e-07	3.35572e-07
103	1.21362e-06	2.44754e-07	3.77013e-07
104	1.53838e-06	2.72921e-07	4.14966e-07
105	1.88815e-06	3.00738e-07	4.54988e-07
106	2.26794e-06	3.30329e-07	4.98217e-07
107	2.68065e-06	3.62883e-07	5.45861e-07
108	3.12948e-06	3.98789e-07	5.9819e-07
109	3.6174e-06	4.3805e-07	6.55203e-07
110	4.14744e-06	4.80432e-07	7.16658e-07
111	4.72265e-06	5.2561e-07	7.82224e-07
112	5.34601e-06	5.73238e-07	8.5153e-07
113	6.02043e-06	6.23001e-07	9.24207e-07
114	6.74864e-06	6.74637e-07	9.99903e-07
115	7.53317e-06	7.27939e-07	1.07829e-06
116	8.37625e-06	7.8276e-07	1.15909e-06
117	9.27983e-06	8.39e-07	1.24205e-06
118	1.02456e-05	8.966e-07	1.327e-06
119	1.12751e-05	9.55532e-07	1.41383e-06
120	1.23696e-05	1.01579e-06	1.50252e-06
121	1.35307e-05	1.0774e-06	1.59313e-06
122	1.47598e-05	1.1404e-06	1.68579e-06
123	1.60586e-05	1.20483e-06	1.78066e-06
124	1.74291e-05	1.27077e-06	1.87791e-06
125	1.88732e-05	1.3383e-06	1.97771e-06
126	2.0393e-05	1.40752e-06	2.08017e-06
127	2.19906e-05	1.47853e-06	2.18535e-06
128	2.36681e-05	1.55141e-06	2.29327e-06
129	2.54273e-05	1.62625e-06	2.40393e-06
130	2.727e-05	1.70306e-06	2.51726e-06
131	2.91977e-05	1.78183e-06	2.6332e-06
132	3.12118e-05	1.8625e-06	2.75164e-06
133	3.33139e-05	1.94495e-06	2.8725e-06
134	3.55054e-05	2.02903e-06	2.99564e-06
135	3.77879e-05	2.11454e-06	3.12091e-06
136	4.01629e-05	2.20129e-06	3.24813e-06
137	4.26319e-05	2.2891e-06	3.37708e-06
138	4.51964e-05	2.37783e-06	3.50753e-06
139	4.78577e-05	2.46737e-06	3.63931e-06
140	5.06169e-05	2.55769e-06	3.77231e-06
141	5.34751e-05	2.64877e-06	3.90647e-06
142	5.64335e-05	2.74064e-06	4.04187e-06
143	5.94933e-05	2.83336e-06	4.17864e-06
144	6.26558e-05	2.92703e-06	4.31698e-06
145	6.59224e-05	3.02176e-06	4.45706e-06
146	6.92946e-05	3.11764e-06	4.59903e-06
147	7.27739e-05	3.21477e-06	4.7429e-06
148	7.63616e-05	3.31325e-06	4.88867e-06
149	8.0059e-05	3.41324e-06	5.03634e-06
150	8.38669e-05	3.51494e-06	5.18604e-06
151	8.77864e-05	3.61852e-06	5.33796e-06
152	9.18184e-05	3.72402e-06	5.49225e-06
153	9.59638e-05	3.83119e-06	5.64877e-06
154	0.000100224	3.93943e-06	5.80706e-06
155	0.000104599	4.04798e-06	5.96633e-06
156	0.000109092	4.15619e-06	6.1258e-06
157	0.000113703	4.26386e-06	6.28508e-06
158	0.000118434	4.37129e-06	6.44431e-06
159	0.000123284	4.47918e-06	6.60412e-06
160	0.000128256	4.58818e-06	6.76526e-06
161	0.000133348	4.69866e-06	6.92824e-06
162	0.000138563	4.81062e-06	7.0932e-06
163	0.000143901	4.92392e-06	7.26002e-06
164	0.000149363	5.03839e-06	7.42846e-06
165	0.000154949	5.15392e-06	7.59825e-06
166	0.000160661	5.27028e-06	7.76905e-06
167	0.000166499	5.38722e-06	7.94057e-06
168	0.000172463	5.50447e-06	8.11268e-06
169	0.000178555	5.62191e-06	8.28549e-06
170	0.000184776	5.7396e-06	8.45915e-06
171	0.000191126	5.85763e-06	8.63368e-06
172	0.000197607	5.97614e-06	8.80889e-06
173	0.000204218	6.09524e-06	8.98462e-06
174	0.00021096	6.21491e-06	9.16087e-06
175	0.000217833	6.33506e-06	9.33788e-06
176	0.000224839	6.45569e-06	9.51587e-06
177	0.000231977	6.57692e-06	9.69486e-06
178	0.000239249	6.69889e-06	9.87469e-06
179	0.000246654	6.82156e-06	1.00552e-05
180	0.000254194	6.9448e-06	1.02364e-05
181	0.000261868	7.06859e-06	1.04185e-05
182	0.000269678	7.19303e-06	1.06018e-05
183	0.000277623	7.31837e-06	1.07864e-05
184	0.000285704	7.44525e-06	1.09721e-05
185	0.00029392	7.57457e-06	1.11596e-05
186	0.000302271	7.707e-06	1.13497e-05
187	0.000310755	7.84309e-06	1.15431e-05
188	0.000319369	7.98363e-06	1.17398e-05
189	0.000328108	8.12874e-06	1.19384e-05
190	0.000336963	8.27596e-06	1.21354e-05
191	0.000345926	8.41921e-06	1.23245e-05
192	0.00035498	8.54572e-06	1.24912e-05
193	0.000364122	8.63315e-06	1.26175e-05
194	0.000373313	8.63541e-06	1.26517e-05
195	0.000382638	8.49237e-06	1.25606e-05
196	0.000391822	8.0648e-06	1.20429e-05
197	0.000401115	7.37257e-06	1.12043e-05
198	0.000405723	6.57588e-06	9.10429e-06
199	0.000418997	6.30597e-06	9.25933e-06
200	3.3658e-07	6.24124e-08	2.19208e-07
201	5.87532e-07	1.14121e-07	2.83469e-07
202	8.82505e-07	1.52894e-07	3.29091e-07
203	1.18319e-06	1.79707e-07	3.67779e-07
204	1.50799e-06	2.02123e-07	4.03282e-07
205	1.85691e-06	2.23355e-07	4.41025e-07
206	2.23522e-06	2.45654e-07	4.82136e-07
207	2.64591e-06	2.70097e-07	5.27775e-07
208	3.09246e-06	2.97099e-07	5.78135e-07
209	3.57806e-06	3.26682e-07	6.33158e-07
210	4.10592e-06	3.58654e-07	6.92558e-07
211	4.67914e-06	3.92734e-07	7.55972e-07
212	5.30074e-06	4.28631e-07	8.23011e-07
213	5.97359e-06	4.66081e-07	8.93301e-07
214	6.70038e-06	5.04876e-07	9.66493e-07
215	7.48355e-06	5.44866e-07	1.04227e-06
216	8.3253e-06	5.85957e-07	1.12036e-06
217	9.22753e-06	6.28099e-07	1.20054e-06
218	1.01919e-05	6.71274e-07	1.28265e-06
219	1.122e-05	7.15476e-07	1.36658e-06
220	1.23132e-05	7.6071e-07	1.45232e-06
221	1.3473e-05	8.06978e-07	1.53993e-06
222	1.47008e-05	8.54288e-07	1.62952e-06
223	1.59983e-05	9.02652e-07	1.72123e-06
224	1.73675e-05	9.52101e-07	1.81523e-06
225	1.88102e-05	1.00269e-06	1.91167e-06
226	2.03286e-05	1.05449e-06	2.01065e-06
227	2.19246e-05	1.1076e-06	2.11227e-06
228	2.36004e-05	1.16214e-06	2.21656e-06
229	2.53578e-05	1.21817e-06	2.32351e-06
230	2.71986e-05	1.27577e-06	2.43307e-06
231	2.91243e-05	1.33491e-06	2.54518e-06
232	3.11367e-05	1.39552e-06	2.65974e-06
233	3.32371e-05	1.45751e-06	2.77664e-06
234	3.54272e-05	1.52071e-06	2.89575e-06
235	3.77084e-05	1.58498e-06	3.01691e-06
236	4.00825e-05	1.65017e-06	3.13995e-06
237	4.25507e-05	1.71615e-06	3.26465e-06
238	4.51144e-05	1.7828e-06	3.3908e-06
239	4.7775e-05	1.85004e-06	3.51821e-06
240	5.05336e-05	1.91782e-06	3.64678e-06
241	5.33911e-05	1.98613e-06	3.77646e-06
242	5.63488e-05	2.05498e-06	3.9073e-06
243	5.94078e-05	2.12443e-06	4.03944e-06
244	6.25694e-05	2.19456e-06	4.17307e-06
245	6.5835e-05	2.26545e-06	4.3084e-06
246	6.92061e-05	2.33722e-06	4.44557e-06
247	7.2684e-05	2.40996e-06	4.58461e-06
