Cell_ID	disp_x	disp_y	disp_z
0	1.48503e-05	7.9225e-06	7.9225e-06
1	2.36174e-05	1.03768e-05	1.03768e-05
2	3.31502e-05	1.18626e-05	1.18626e-05
3	4.24551e-05	1.27858e-05	1.27858e-05
4	5.19605e-05	1.3273e-05	1.3273e-05
5	6.16306e-05	1.35332e-05	1.35332e-05
6	7.14874e-05	1.36465e-05	1.36465e-05
7	8.14847e-05	1.36835e-05	1.36835e-05
8	9.15901e-05	1.36816e-05	1.36816e-05
9	0.000101769	1.36641e-05	1.36641e-05
10	0.000111996	1.36431e-05	1.36431e-05
11	0.000122253	1.36242e-05	1.36242e-05
12	0.000132526	1.36093e-05	1.36093e-05
13	0.000142807	1.35986e-05	1.35986e-05
14	0.000153092	1.35914e-05	1.35914e-05
15	0.000163379	1.35869e-05	1.35869e-05
16	0.000173665	1.35843e-05	1.35843e-05
17	0.000183951	1.35829e-05	1.35829e-05
18	0.000194236	1.35822e-05	1.35822e-05
19	0.000204521	1.3582e-05	1.3582e-05
20	0.000214804	1.35819e-05	1.35819e-05
21	0.000225088	1.3582e-05	1.3582e-05
22	0.000235372	1.35821e-05	1.35821e-05
23	0.000245655	1.35822e-05	1.35822e-05
24	0.000255938	1.35823e-05	1.35823e-05
25	0.000266221	1.35823e-05	1.35823e-05
26	0.000276504	1.35824e-05	1.35824e-05
27	0.000286788	1.35824e-05	1.35824e-05
28	0.000297071	1.35825e-05	1.35825e-05
29	0.000307354	1.35825e-05	1.35825e-05
30	0.000317637	1.35825e-05	1.35825e-05
31	0.00032792	1.35825e-05	1.35825e-05
32	0.000338204	1.35826e-05	1.35826e-05
33	0.000348487	1.35826e-05	1.35826e-05
34	0.00035877	1.35826e-05	1.35826e-05
35	0.000369053	1.35826e-05	1.35826e-05
36	0.000379337	1.35826e-05	1.35826e-05
37	0.00038962	1.35827e-05	1.35827e-05
38	0.000399903	1.35827e-05	1.35827e-05
39	0.000410187	1.35827e-05	1.35827e-05
40	0.00042047	1.35827e-05	1.35827e-05
41	0.000430754	1.35828e-05	1.35828e-05
42	0.000441037	1.35828e-05	1.35828e-05
43	0.00045132	1.35828e-05	1.35828e-05
44	0.000461604	1.35828e-05	1.35828e-05
45	0.000471887	1.35829e-05	1.35829e-05
46	0.000482171	1.35829e-05	1.35829e-05
47	0.000492454	1.35829e-05	1.35829e-05
48	0.000502738	1.35829e-05	1.35829e-05
49	0.000513021	1.3583e-05	1.3583e-05
50	0.000523305	1.3583e-05	1.3583e-05
