Cell_ID	disp_x	disp_y	disp_z
0	1.44964e-05	7.73355e-06	7.73355e-06
1	2.30547e-05	1.01293e-05	1.01293e-05
2	3.23605e-05	1.15798e-05	1.15799e-05
3	4.14441e-05	1.24813e-05	1.24813e-05
4	5.07237e-05	1.29571e-05	1.29571e-05
5	6.01645e-05	1.32115e-05	1.32115e-05
6	6.97877e-05	1.33226e-05	1.33226e-05
7	7.95488e-05	1.33594e-05	1.33594e-05
8	8.94156e-05	1.33582e-05	1.33582e-05
9	9.9355e-05	1.3342e-05	1.3342e-05
10	0.000109342	1.33224e-05	1.33224e-05
11	0.000119358	1.33049e-05	1.33049e-05
12	0.000129391	1.32915e-05	1.32915e-05
13	0.000139434	1.32822e-05	1.32822e-05
14	0.000149481	1.32764e-05	1.32764e-05
15	0.00015953	1.32733e-05	1.32733e-05
16	0.00016958	1.32721e-05	1.32721e-05
17	0.00017963	1.32722e-05	1.32722e-05
18	0.000189681	1.32731e-05	1.32731e-05
19	0.000199733	1.32745e-05	1.32745e-05
20	0.000209785	1.32762e-05	1.32762e-05
21	0.000219839	1.3278e-05	1.3278e-05
22	0.000229893	1.328e-05	1.328e-05
23	0.000239949	1.32821e-05	1.32821e-05
24	0.000250006	1.32842e-05	1.32842e-05
25	0.000260065	1.32863e-05	1.32863e-05
26	0.000270125	1.32886e-05	1.32886e-05
27	0.000280188	1.32909e-05	1.32909e-05
28	0.000290251	1.32932e-05	1.32932e-05
29	0.000300317	1.32957e-05	1.32957e-05
30	0.000310385	1.32982e-05	1.32982e-05
31	0.000320454	1.33008e-05	1.33008e-05
32	0.000330525	1.33034e-05	1.33034e-05
33	0.000340599	1.33061e-05	1.33061e-05
34	0.000350674	1.33089e-05	1.33089e-05
35	0.000360752	1.33118e-05	1.33118e-05
36	0.000370832	1.33147e-05	1.33147e-05
37	0.000380914	1.33177e-05	1.33177e-05
38	0.000390998	1.33208e-05	1.33208e-05
39	0.000401085	1.33239e-05	1.33239e-05
40	0.000411174	1.33271e-05	1.33271e-05
41	0.000421265	1.33303e-05	1.33303e-05
42	0.000431359	1.33336e-05	1.33336e-05
43	0.000441456	1.3337e-05	1.3337e-05
44	0.000451555	1.33404e-05	1.33404e-05
45	0.000461656	1.33439e-05	1.33439e-05
46	0.000471761	1.33474e-05	1.33474e-05
47	0.000481867	1.3351e-05	1.3351e-05
48	0.000491977	1.33547e-05	1.33547e-05
49	0.00050209	1.33583e-05	1.33583e-05
50	0.000512205	1.33621e-05	1.33621e-05
51	0.000522323	1.33659e-05	1.33659e-05
52	0.000532444	1.33697e-05	1.33697e-05
53	0.000542568	1.33736e-05	1.33736e-05
54	0.000552694	1.33775e-05	1.33775e-05
55	0.000562824	1.33814e-05	1.33814e-05
56	0.000572957	1.33855e-05	1.33855e-05
57	0.000583093	1.33895e-05	1.33895e-05
58	0.000593232	1.33936e-05	1.33936e-05
59	0.000603374	1.33978e-05	1.33978e-05
60	0.000613519	1.34019e-05	1.34019e-05
61	0.000623668	1.34062e-05	1.34062e-05
62	0.000633819	1.34104e-05	1.34104e-05
63	0.000643974	1.34147e-05	1.34147e-05
64	0.000654132	1.34191e-05	1.34191e-05
65	0.000664293	1.34234e-05	1.34234e-05
66	0.000674458	1.34278e-05	1.34278e-05
67	0.000684626	1.34322e-05	1.34322e-05
68	0.000694797	1.34366e-05	1.34366e-05
69	0.000704971	1.3441e-05	1.3441e-05
70	0.000715149	1.34454e-05	1.34454e-05
71	0.00072533	1.34499e-05	1.34499e-05
72	0.000735515	1.34544e-05	1.34544e-05
73	0.000745703	1.34588e-05	1.34588e-05
74	0.000755895	1.34633e-05	1.34633e-05
75	0.00076609	1.34678e-05	1.34678e-05
76	0.000776288	1.34723e-05	1.34723e-05
77	0.00078649	1.34769e-05	1.34769e-05
78	0.000796696	1.34814e-05	1.34814e-05
79	0.000806905	1.34861e-05	1.34861e-05
80	0.000817118	1.34909e-05	1.34909e-05
81	0.000827335	1.3496e-05	1.3496e-05
82	0.000837556	1.35016e-05	1.35016e-05
83	0.000847781	1.3508e-05	1.3508e-05
84	0.000858009	1.35155e-05	1.35155e-05
85	0.00086824	1.35247e-05	1.35247e-05
86	0.000878472	1.3536e-05	1.3536e-05
87	0.000888703	1.35497e-05	1.35497e-05
88	0.000898926	1.35656e-05	1.35656e-05
89	0.000909135	1.35825e-05	1.35825e-05
90	0.000919317	1.35964e-05	1.35964e-05
91	0.000929459	1.36001e-05	1.36001e-05
92	0.000939537	1.35782e-05	1.35782e-05
93	0.000949535	1.35093e-05	1.35093e-05
94	0.00095941	1.33411e-05	1.33411e-05
95	0.00096923	1.30211e-05	1.30211e-05
96	0.000978744	1.22928e-05	1.22928e-05
97	0.000987914	1.12906e-05	1.12906e-05
98	0.000993241	9.37345e-06	9.37345e-06
99	0.00100729	9.30019e-06	9.30019e-06
100	1.26422e-05	3.90501e-06	8.36062e-06
101	2.14873e-05	6.34255e-06	1.06374e-05
102	3.13301e-05	7.89588e-06	1.19709e-05
103	4.06766e-05	8.69602e-06	1.28348e-05
104	5.02217e-05	9.10797e-06	1.32715e-05
105	5.98477e-05	9.29102e-06	1.35045e-05
106	6.95994e-05	9.34627e-06	1.35998e-05
107	7.94443e-05	9.34073e-06	1.36271e-05
108	8.93632e-05	9.31044e-06	1.36203e-05
109	9.93327e-05	9.27524e-06	1.3601e-05
110	0.000109336	9.24399e-06	1.35798e-05
111	0.000119359	9.21979e-06	1.35617e-05
112	0.000129395	9.20273e-06	1.35482e-05
113	0.000139438	9.19165e-06	1.3539e-05
114	0.000149484	9.18508e-06	1.35334e-05
115	0.000159532	9.18165e-06	1.35305e-05
116	0.000169581	9.18029e-06	1.35295e-05
117	0.000179631	9.1802e-06	1.35297e-05
118	0.000189681	9.18086e-06	1.35307e-05
119	0.000199732	9.18194e-06	1.35322e-05
120	0.000209784	9.18324e-06	1.35339e-05
121	0.000219837	9.18464e-06	1.35358e-05
122	0.000229892	9.18609e-06	1.35378e-05
123	0.000239947	9.18757e-06	1.35399e-05
124	0.000250005	9.18907e-06	1.35421e-05
125	0.000260063	9.1906e-06	1.35443e-05
126	0.000270124	9.19215e-06	1.35466e-05
127	0.000280186	9.19375e-06	1.35489e-05
128	0.00029025	9.19539e-06	1.35513e-05
129	0.000300315	9.19708e-06	1.35538e-05
130	0.000310383	9.19882e-06	1.35564e-05
131	0.000320452	9.20061e-06	1.3559e-05
132	0.000330523	9.20245e-06	1.35617e-05
133	0.000340597	9.20434e-06	1.35645e-05
134	0.000350672	9.20627e-06	1.35673e-05
135	0.00036075	9.20825e-06	1.35703e-05
136	0.000370829	9.21028e-06	1.35732e-05
137	0.000380911	9.21235e-06	1.35763e-05
138	0.000390996	9.21447e-06	1.35794e-05
139	0.000401082	9.21664e-06	1.35826e-05
140	0.000411171	9.21884e-06	1.35858e-05
141	0.000421263	9.22108e-06	1.35891e-05
142	0.000431357	9.22336e-06	1.35925e-05
143	0.000441453	9.22569e-06	1.35959e-05
144	0.000451552	9.22806e-06	1.35994e-05
145	0.000461654	9.23047e-06	1.3603e-05
146	0.000471758	9.23291e-06	1.36066e-05
147	0.000481865	9.2354e-06	1.36102e-05
148	0.000491974	9.23792e-06	1.36139e-05
149	0.000502087	9.24048e-06	1.36177e-05
150	0.000512202	9.24307e-06	1.36215e-05
151	0.00052232	9.24569e-06	1.36254e-05
152	0.000532441	9.24834e-06	1.36293e-05
153	0.000542565	9.25101e-06	1.36332e-05
154	0.000552691	9.25372e-06	1.36372e-05
155	0.000562821	9.25646e-06	1.36412e-05
156	0.000572954	9.25923e-06	1.36453e-05
157	0.00058309	9.26204e-06	1.36495e-05
158	0.000593229	9.26488e-06	1.36537e-05
159	0.000603371	9.26776e-06	1.36579e-05
160	0.000613516	9.27066e-06	1.36622e-05
161	0.000623664	9.27359e-06	1.36665e-05
162	0.000633816	9.27655e-06	1.36708e-05
163	0.00064397	9.27952e-06	1.36752e-05
164	0.000654128	9.28252e-06	1.36796e-05
